,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
592,Burger King,Burger,Cheeseburger XL,,,,
593,Burger King,Burger,Mozzarella Cheeseburger XL Burger,,,,
594,Burger King,Burger,Royal Chicken Burger,,,,
595,Burger King,Burger,Whopper®,,,,
596,Burger King,Burger,Tropical Whopper® ,,,,
597,Burger King,Burger,Tropical Whopper® Jr ,,,,
598,Burger King,Burger,Cheeseburger,,,,
599,Burger King,Burger,Spicy Cheese Whopper® ,,,,
624,Burger King,Fried chicken,Ayam Madura,,,,
631,Burger King,Burger,BBQ Angus Burger,,,,
632,Burger King,Burger,Cheese Lava Angus Burger,,,,
637,Burger King,Fried chicken,Ayam Crispy,,,,
638,Burger King,Ice cream,King Fusion Nastar Crumble,,,,
639,Burger King,Burger,Beef Burger,,,,
640,Burger King,French fries,Medium Fries,,,,
641,Burger King,French fries,Jalapeno Cheesy Fries,,,,
642,Burger King,Burger,Chicken Burger,,,,
643,Burger King,French fries,Fries Large,,,,
644,Burger King,Ice cream,King Fusion Cookies 'n Cream,,,,
645,Burger King,Pie,Choco Pie,,,,
647,Burger King,French fries,Chessy Fries Medium,,,,
648,Burger King,Ice cream,Fusion Kitkat®,,,,
684,Wendy's,Burger,Single Stacker,,,,
686,Wendy's,Burger,Double Stacker A,,,,
688,Wendy's,Burger,Single Dave's,,,,
690,Wendy's,Burger,Double Dave's,,,,
692,Wendy's,Burger,Cheese Beefanator,,,,
694,Wendy's,Burger,Homestyle Chicken,,,,
696,Wendy's,Burger,Spicy Nanban Chicken Burger,,,,
698,Wendy's,Fried chicken,Fried Chicken,,,,
703,Wendy's,Fried chicken,Spicy Chicken Nanban,,,,
706,Wendy's,French fries,French Fries Medium,,,,
707,Wendy's,French fries,French Fries Large,,,,
708,Wendy's,French fries,Waffle Fries Medium,,,,
709,Wendy's,French fries,Waffle Fries Large,,,,
737,Wendy's,Burger,Beef Burger,,,,
738,Wendy's,Burger,Cheeseburger,,,,
740,Wendy's,Burger,Beef Burger Deluxe,,,,
742,Wendy's,Burger,Crispy Chicken Burger,,,,
744,Wendy's,Burger,Cheese Crispy Chicken,,,,
746,Wendy's,French fries,Cheese Fries Bolognese,,,,
747,Wendy's,Pasta,Beef Spaghetti Bolognese,,,,
748,Wendy's,Soup,Beef Chili,,,,
750,Wendy's,French fries,Chili Cheese Fries,,,,
751,Wendy's,Pasta,Macaroni Melt 'N Cheese,,,,
754,Wendy's,Snack,Chicken Strip,,,,
759,Wendy's,Baked potato,Baked Potato Cheese n' Cheese,,,,
760,Wendy's,Baked potato,Baked Potato Broccoli n' Cheese,,,,
761,Wendy's,Baked potato,Baked Potato Bolognese,,,,
762,Wendy's,Baked potato,Baked Potato Carbonara,,,,
763,Wendy's,Baked pie,Potato Pie Cheese,,,,
764,Wendy's,Baked pie,Potato Pie Carbonara,,,,
803,Carl's Jr.,Fried chicken,CJ Chicken ,,,,
805,Carl's Jr.,Fried chicken,CJ Chicken Sambal Bawang ,,,,
807,Carl's Jr.,Fried chicken,CJ Chicken Spicy Delight ,,,,
818,Carl's Jr.,Burger,Western Beefbac Cheeseburger,,,,
819,Carl's Jr.,Burger,Portobello Mushroom,,,,
820,Carl's Jr.,Burger,Hawaiian Beef Burger,,,,
821,Carl's Jr.,Burger,Memphis BBQ,,,,
822,Carl's Jr.,Burger,Famous Star,,,,
823,Carl's Jr.,Burger,Double Western Beefbac Cheeseburger,,,,
824,Carl's Jr.,Burger,Superstar with Cheese,,,,
829,Carl's Jr.,Burger,Cheeseburger,,,,
830,Carl's Jr.,Burger,BBQ Burger,,,,
831,Carl's Jr.,Burger,California Classic,,,,
832,Carl's Jr.,Burger,Crispy Chicken Burger,,,,
834,Carl's Jr.,Burger,Chicken Tender Burger,,,,
836,Carl's Jr.,Burger,Hawaiian Chicken,,,,
838,Carl's Jr.,French fries,Beefbac BBQ Cheese Fries (R),,,,
839,Carl's Jr.,French fries,Beefbac Double Cheese Fries (R),,,,
840,Carl's Jr.,French fries,Chili Cheese Fries (R),,,,
841,Carl's Jr.,Snack,Onion Rings,,,,
842,Carl's Jr.,French fries,Skin-on Fries (M),,,,
843,Carl's Jr.,Snack,Chicken Tender 2 Pcs,,,,
845,Carl's Jr.,Ice cream,Sundae,,,,
854,J.CO Donuts & Coffee,Pastry,CHEESE STRIP M,,,,
855,J.CO Donuts & Coffee,Pastry,CHEESE STRIP L,,,,
856,J.CO Donuts & Coffee,Pastry,CHOCO STRIP M,,,,
857,J.CO Donuts & Coffee,Pastry,CHOCO STRIP L,,,,
881,J.CO Donuts & Coffee,Donuts,Jcronut 1Dzn,,,,
882,J.CO Donuts & Coffee,Donuts,DONUTS 1/2 DZN,,,,
