,Company,Menu
273,Domino's Pizza,DOUBLE BEEF BURGER
274,Domino's Pizza,BEEF PEPPERONI FEAST
275,Domino's Pizza,TUNA DELIGHT
276,Domino's Pizza,MEAT & MEAT
277,Domino's Pizza,MARGHERITA
278,Domino's Pizza,BEEF DELIGHT
279,Domino's Pizza,CHEESY SAUSAGE
280,Domino's Pizza,CHICKEN PEPPERONI FEAST
281,Domino's Pizza,BEEF RASHER
282,Domino's Pizza,K-LOVERS PIZZA
283,Domino's Pizza,CHEESY BEEF
284,Domino's Pizza,CREAMY CHICKEN
285,Domino's Pizza,CHICKEN BBQ
286,Burger King,Ayam Madura
287,Burger King,BBQ Beef Rasher Supreme
288,Burger King,Ayam 
289,Burger King,Cheeseburger
290,Burger King,Chicken Cheeseburger
291,Burger King,Beef Burger
292,Burger King,Cheese Whopper® Jr
293,Burger King,Chicken Burger
294,Burger King,Ayam Spicy 
295,Burger King,Crispy Chicken [ Wings / Drumstick ]
296,Burger King,Mozzarella Cheeseburger
297,Burger King,Bbq Beef Burger
298,Burger King,Cheeseburger Supreme
299,Burger King,Cheese Whopper®
300,Burger King,Spicy Cheese Whopper® JR 🌶️
301,Burger King,Cheese Whopper® JR
302,Burger King,Mozzarella Cheeseburger
303,Burger King,Double Cheeseburger
304,Burger King,Cheeseburger XL
305,Burger King,Mozzarella Cheeseburger XL Burger
306,Burger King,Royal Chicken Burger
307,Burger King,Whopper®
308,Burger King,Tropical Whopper® 
309,Burger King,Tropical Whopper® Jr 
310,Burger King,Paket Tropical Whopper® Medium
311,Burger King,Paket Tropical Whopper® Jr Regular
312,Burger King,King Box Tropical Whopper® Medium
313,Burger King,King Box Tropical Whopper® Jr Regular
314,Burger King,BBQ Angus Burger
315,Burger King,Cheese Lava Angus Burger
316,Burger King,Paket BBQ Angus Burger Medium
317,Burger King,Paket Cheese Lava Angus Burger Medium
318,Burger King,King Box BBQ Angus Burger Medium
319,Burger King,King Box Cheese Lava Angus Burger Medium
320,Burger King,1 pc Ayam Crispy
321,Burger King,King Fusion Nastar Crumble
322,Burger King,Medium Fries
323,Burger King,Jalapeno Cheesy Fries
324,Burger King,Fries Large
325,Burger King,King Fusion Cookies 'n Cream
326,Burger King,Choco Pie
327,Burger King,Chessy Fries Medium
328,Burger King,Fusion Kitkat®
329,Burger King,Milo Dinosaur Regular
330,Burger King,Milo Cookies & Cream Regular
331,Wendy's,Steakhouse Cheeseburger 
332,Wendy's,Stacker
333,Wendy's,Dave's
334,Wendy's,Cheese Beefanator
335,Wendy's,Homestyle Chicken
336,Wendy's,Spicy Nanban Chicken Burger
337,Wendy's,Fried Chicken
338,Wendy's,Spicy Chicken Nanban
339,Wendy's,French Fries
340,Wendy's,Waffle Fries
341,Wendy's,Beef Burger
342,Wendy's,Cheeseburger
343,Wendy's,Beef Burger Deluxe
344,Wendy's,Crispy Chicken Burger
345,Wendy's,Cheese Crispy Chicken
346,Wendy's,Cheese Fries Bolognese
347,Wendy's,Beef Spaghetti Bolognese
348,Wendy's,Beef Chili
349,Wendy's,Chili with Rice
350,Wendy's,Chili Cheese Fries
351,Wendy's,Macaroni Melt 'N Cheese
352,Wendy's,Premium Garden Salad
353,Wendy's,Chicken Soup
354,Wendy's,Chicken Strip
355,Wendy's,Sambal Matah Chicken Rice
356,Wendy's,Spicy Chicken Nanban Rice Bowl
357,Wendy's,Baked Potato Cheese n' Cheese
358,Wendy's,Baked Potato Broccoli n' Cheese
359,Wendy's,Baked Potato Bolognese
360,Wendy's,Baked Potato Carbonara
361,Wendy's,Potato Pie Cheese
362,Wendy's,Potato Pie Carbonara
363,Carl's Jr.,CJ Chicken
364,Carl's Jr.,CJ Chicken Sambal Bawang
365,Carl's Jr.,CJ Chicken Spicy Delight 
366,Carl's Jr.,Western Beefbac Cheeseburger
367,Carl's Jr.,Portobello Mushroom
368,Carl's Jr.,Hawaiian Beef Burger
369,Carl's Jr.,Memphis BBQ
370,Carl's Jr.,Famous Star
371,Carl's Jr.,Double Western Beefbac Cheeseburger
372,Carl's Jr.,Superstar with Cheese
373,Carl's Jr.,Cheeseburger
374,Carl's Jr.,BBQ Burger
375,Carl's Jr.,California Classic
376,Carl's Jr.,Crispy Chicken Burger
377,Carl's Jr.,Chicken Tender Burger
378,Carl's Jr.,Hawaiian Chicken
379,Carl's Jr.,Mushroom Bites with Classic Sauce
380,Carl's Jr.,Beefbac BBQ Cheese Fries (R)
381,Carl's Jr.,Beefbac Double Cheese Fries (R)
382,Carl's Jr.,Chili Cheese Fries (R)
383,Carl's Jr.,Onion Rings
384,Carl's Jr.,Skin-on Fries (M)
385,Carl's Jr.,Chicken Tender 
386,Carl's Jr.,Sundae
387,Carl's Jr.,Ice Cream Shakes
388,J.CO Donuts & Coffee,CHEESE STRIP 
389,J.CO Donuts & Coffee,CHOCO STRIP 
390,J.CO Donuts & Coffee,Jcronut 1Dzn
391,J.CO Donuts & Coffee,DONUTS 1/2 DZN
